#ouch-MUnlock: unknown
InsiderTrades-KUnlock: progression
JustOneMore-KUnlock: unknown
KartsNDarts-MUnlock: unknown
LingeringMagic-KUnlock: progression
Logs-MUnlock: progression
LongTurbo-KUnlock: progression
LongerBoosts-KUnlock: useful
LongerDartTime-KUnlock: useful
LotusIsland-MUnlock: unknown
LuminousCove-MUnlock: progression
MagicTricks-KUnlock: progression
ManaShield-KUnlock: unknown
MasterDefender-KUnlock: progression
MasterDoubleCross-KUnlock: unknown
MaulingMoabMines-KUnlock: progression
Medal: progression
MegaMauler-KUnlock: progression
Mermonkey-TUnlock: progression
Mesa-MUnlock: progression
MiddleOfTheRoad-MUnlock: unknown
MidnightMansion-MUnlock: unknown
MilitaryConscription-KUnlock: unknown
MoMonkeyMoney-KUnlock: progression
Monkey Money: filler
MonkeyAce-TUnlock: progression
MonkeyBuccaneer-TUnlock: useful
MonkeyEducation-KUnlock: progression
MonkeySub-TUnlock: useful
MonkeyVillage-TUnlock: progression
MonkeysTogetherStrong-KUnlock: progression
MoonLanding-MUnlock: progression
MoreCash-KUnlock: progression
MoreSplattyGlue-KUnlock: progression
MoreSplody-KUnlock: unknown
MoreValuableBananas-KUnlock: progression
MortarMonkey-TUnlock: unknown
MuddyPuddles-MUnlock: progression
NavalUpgrades-KUnlock: progression
NinjaMonkey-TUnlock: useful
ObynGreenfoot-HUnlock: progression
OffTheCoast-MUnlock: unknown
OneMoreSpike-KUnlock: progression
OneTwoTree-MUnlock: progression
PaintStripper-KUnlock: progression
ParagonOfPower-KUnlock: progression
ParkPath-MUnlock: progression
PatFusty-HUnlock: progression
PatsPond-MUnlock: unknown
Peninsula-MUnlock: progression
Polyphemus-MUnlock: unknown
PoppyBlades-KUnlock: progression
PowerfulMonkeyStorm-KUnlock: progression
PreGamePrep-KUnlock: progression
Psi-HUnlock: progression
Quad-MUnlock: unknown
QuadBurst-KUnlock: progression
Quarry-MUnlock: progression
QuickHands-KUnlock: progression
QuietStreet-MUnlock: unknown
Quincy-HUnlock: progression
Rake-MUnlock: progression
RapidRazors-KUnlock: progression
Ravine-MUnlock: unknown
RecurringRangs-KUnlock: progression
Resort-MUnlock: progression
Rosalia-HUnlock: useful
Sanctuary-MUnlock: progression
Sauda-HUnlock: progression
Scholarships-KUnlock: progression
Scrapyard-MUnlock: unknown
SelfTaughtHeroes-KUnlock: progression
Skates-MUnlock: progression
SniperMonkey-TUnlock: progression
SoCold-KUnlock: useful
SpeedyBrewing-KUnlock: progression
SpiceIslands-MUnlock: unknown
SpikeFactory-TUnlock: progression
Spillway-MUnlock: progression
SpringSpring-MUnlock: progression
Streambed-MUnlock: progression
StrikeDownTheFalse-KUnlock: progression
StrikerJones-HUnlock: progression
StrongTonic-KUnlock: progression
SubAdmiral-KUnlock: unknown
SulfurSprings-MUnlock: useful
SunkenColumns-MUnlock: progression
SupaThrive-KUnlock: useful
SuperMonkey-TUnlock: progression
SuperRange-KUnlock: progression
SupersizeGlueTrap-KUnlock: unknown
TackShooter-TUnlock: useful
TargetedPineapples-KUnlock: unknown
TheCabin-MUnlock: unknown
ThereCanBeOnlyOne-KUnlock: useful
ThickerFoams-KUnlock: progression
Tinkerton-MUnlock: progression
TinyTornadoes-KUnlock: progression
ToArms-KUnlock: unknown
TownCentre-MUnlock: progression
TradeAgreements-KUnlock: progression
TreeStump-MUnlock: progression
Tutorial-MUnlock: progression
Underground-MUnlock: progression
VeryShreddy-KUnlock: progression
VeteranMonkeyTraining-KUnlock: unknown
VigilantSentries-KUnlock: progression
VineRupture-KUnlock: progression
ViolentImpact-KUnlock: unknown
WarmOak-KUnlock: progression
WaterPark-MUnlock: progression
WeakPoint-KUnlock: progression
Wingmonkey-KUnlock: progression
WinterPark-MUnlock: progression
WizardMonkey-TUnlock: progression
Workshop-MUnlock: unknown
XFactor-MUnlock: unknown
XrayUltra-KUnlock: progression
Monkey Knowledge: useful
